Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
600490 CH Equity,PENGXIN INTERN-A,55.65M,70.74,2.83,121.35,4.12%,Materials,17.99B,1.41%,4.03%,9.42%,616.24%,1.75,4.32
300337 CH Equity,YINBANG CLAD M-A,55.64M,848.36,5.89,--,0.70%,Materials,10.32B,0.12%,2.42%,237.46%,-27.16%,23.62,2.27
688208 CH Equity,AUTEL INTELLIG-A,55.53M,25.71,6.31,51.81,25.20%,Consumer Discretionary,24.41B,3.89%,15.81%,44.86%,19.81%,-5.38,14.65
002063 CH Equity,YGSOFT INC-A,55.15M,39.36,3.2,36.13,8.43%,Information Technology,12.04B,2.54%,8.29%,5.51%,-5.89%,-1.4,0.66
603283 CH Equity,SUZHOU SECOTE-A,55.13M,26.98,3.91,51.48,15.53%,Industrials,12.57B,3.71%,11.09%,35.37%,-12.85%,-9.33,13.61
603612 CH Equity,SUNSTONE DEVEL-A,54.86M,18.3,2.3,--,13.01%,Materials,12.95B,5.46%,7.37%,122.40%,332.24%,0.39,11.25
600600 CH Equity,TSINGTAO BREW-A,54.84M,18.59,2.78,29.74,15.37%,Consumer Staples,73.53B,5.38%,14.45%,0.76%,-13.70%,-7.25,-15.94
688091 CH Equity,SHANGHAI YIZHO-A,54.66M,509.4,8.03,--,1.58%,Health Care,11.80B,0.20%,0.68%,0.00%,4.06k%,0.88,16.41
000983 CH Equity,SHANXI COKING-A,54.64M,21.62,1,--,4.62%,Energy,36.67B,4.63%,4.50%,62.39%,-52.61%,-11.32,0.06
603678 CH Equity,FUJIAN TORCH E-A,54.54M,46.54,2.48,--,5.51%,Information Technology,15.27B,2.15%,4.33%,29.84%,-3.77%,-17.01,-8.01
600999 CH Equity,CHINA MERCHANT-A,54.27M,8.67,0.83,11.98,9.95%,Financials,130.33B,11.53%,2.03%,301.68%,6.61%,-9.79,-1.04
688062 CH Equity,MABWELL SHANGH-A,53.95M,--,43.24,--,-101.06%,Health Care,15.16B,-6.40%,-25.28%,529.10%,-7.74%,-15.15,17.02
600958 CH Equity,ORIENT SECURIT-A,53.85M,7.8,0.53,--,6.99%,Financials,72.74B,12.83%,1.65%,285.86%,14.78%,-21.06,0.43
300229 CH Equity,TRS INFO TECH-A,53.77M,--,4,--,-8.14%,Information Technology,15.86B,-1.91%,-8.28%,0.36%,-67.33%,-15.14,-0.07
605116 CH Equity,AURISCO PHARMA-A,53.70M,25.84,4.35,304.43,17.65%,Health Care,11.06B,3.87%,12.56%,41.51%,34.26%,19.43,7.38
688126 CH Equity,NATIONAL SILIC-A,53.59M,--,4.26,--,-8.79%,Information Technology,57.87B,-2.22%,-5.30%,48.27%,-69.97%,-32.52,-0.61
000620 CH Equity,WINNOVATION CU-A,53.55M,--,1.03,--,-22.11%,Real Estate,16.26B,-10.57%,-11.81%,40.52%,63.35%,68.9,1.18
300457 CH Equity,SHENZHEN YINGH-A,53.45M,32.86,2.59,29.04,8.04%,Industrials,17.62B,3.04%,7.30%,33.90%,1.71k%,-11.62,11.25
288 HK Equity,WH GROUP LTD,53.34M,10.91,1.53,9.13,14.34%,Consumer Staples,133.95B,9.16%,11.57%,32.20%,-5.02%,35.23,5.41
000930 CH Equity,COFCO BIOTECH -A,53.31M,132.29,1.17,22.26,0.89%,Materials,12.51B,0.76%,0.67%,37.74%,-59.53%,11.59,0.92
300655 CH Equity,CRYSTAL CLEAR-A,53.12M,--,6.03,77.38,-1.94%,Materials,15.99B,-0.34%,-0.14%,18.88%,236.11%,-2.22,7.29
002104 CH Equity,HENGBAO CO LTD-A,53.01M,266.27,5.09,71.93,1.91%,Information Technology,10.90B,0.38%,1.04%,1.50%,-81.56%,-26.01,8.84
002537 CH Equity,HYUNION HOLDIN-A,52.85M,42.93,2.08,--,4.81%,Consumer Discretionary,9.16B,2.33%,2.75%,52.72%,-38.37%,-12.26,2.1
600629 CH Equity,ARCPLUS GROUP -A,52.82M,308.96,4.06,59.05,1.36%,Industrials,21.52B,0.32%,1.81%,19.53%,-66.71%,-25.42,15.45
601083 CH Equity,SHANGHAI JINJI-A,52.73M,11.27,1.8,13.72,16.63%,Industrials,16.97B,8.88%,14.20%,15.22%,2.74%,15.36,2.73
301345 CH Equity,ZHEJIANG TAOTA-A,52.60M,29.63,6.69,46.37,24.01%,Consumer Discretionary,24.23B,3.37%,18.86%,32.44%,61.79%,-3.47,177.92
002601 CH Equity,LB GROUP CO LT-A,52.54M,32.65,1.78,28.65,5.40%,Materials,42.01B,3.06%,3.38%,114.27%,-66.73%,-12.76,1.85
600850 CH Equity,CETC DIGITAL T-A,52.10M,27.08,2.79,--,10.71%,Information Technology,13.56B,3.69%,7.99%,38.64%,-17.18%,-32.41,-2.82
000969 CH Equity,ADVANCED TECH -A,51.93M,59.57,3.77,50.33,6.45%,Materials,22.16B,1.68%,4.58%,30.13%,377.55%,28.52,10.07
002706 CH Equity,SHANGHAI LIANG-A,51.55M,34.82,2.69,39.84,7.48%,Industrials,10.96B,2.87%,6.65%,6.61%,-25.56%,-16.79,2.55
300352 CH Equity,BEIJING VRV SO-A,51.47M,--,8.15,509.03,-19.31%,Information Technology,10.05B,-2.62%,-19.15%,18.36%,35.25%,19.07,2.49
601021 CH Equity,SPRING AIRLINE-A,51.38M,23.25,2.56,--,11.17%,Industrials,46.55B,4.30%,5.90%,115.29%,-5.50%,-9.42,-5.62
002891 CH Equity,YANTAI CHINA P-A,51.36M,25.78,4.05,24.95,16.65%,Consumer Staples,12.29B,3.88%,10.86%,48.53%,16.65%,-30.07,-3.11
300257 CH Equity,KAISHAN GROUP-A,51.33M,75.01,4.6,485.55,6.25%,Industrials,30.41B,1.33%,4.50%,121.26%,164.37%,90.77,21.91
600916 CH Equity,CHINA NATIONAL-A,51.31M,38.01,2.16,59.74,5.59%,Consumer Discretionary,15.54B,2.63%,4.19%,5.03%,216.79%,8.82,0.98
300913 CH Equity,ZHEJIANG ZHAOL-A,51.06M,85.09,12.46,279.71,16.21%,Industrials,18.20B,1.18%,12.90%,1.67%,37.96%,-3.58,16.46
000875 CH Equity,SPIC GREEN ENE-A,51.03M,55.37,1.33,--,3.08%,Utilities,23.25B,1.81%,2.70%,185.91%,-97.40%,2.79,1.33
000035 CH Equity,CHINA TIANYING-A,50.81M,72.47,1.46,--,2.10%,Industrials,15.93B,1.38%,2.93%,104.05%,225.21%,12.86,2.23
300593 CH Equity,BEIJING RELPOW-A,50.79M,--,5.51,--,-17.45%,Industrials,13.23B,-3.44%,-11.26%,50.78%,-79.70%,18.18,10.88
CLAR SP Equity,CAPITALAND ASCEN,50.75M,15,1.11,--,7.59%,Real Estate,12.30B,6.66%,4.84%,73.01%,-24.53%,-6.91,0.16
002468 CH Equity,STO EXPRESS CO-A,50.74M,20.62,2.31,223.66,11.61%,Industrials,23.76B,4.85%,7.04%,99.03%,49.69%,-11.77,4.43
000596 CH Equity,ANHUI GUJINGD-A,50.64M,11.48,2.13,224.88,19.17%,Consumer Staples,49.15B,8.71%,16.28%,6.23%,-74.94%,-32.85,-71.66
000966 CH Equity,CHN ENERGY CHA-A,50.41M,129.22,1.09,--,1.20%,Utilities,15.11B,0.77%,1.27%,163.80%,-64.42%,-2.25,-0.26
002815 CH Equity,SUNTAK TECHNOL-A,50.30M,51.08,2.03,--,3.86%,Information Technology,18.23B,1.96%,3.61%,11.69%,2.96k%,1.58,5.56
600864 CH Equity,HARBIN HATOU -A,50.10M,21.57,1.02,9.55,4.75%,Utilities,13.52B,4.64%,-0.04%,131.88%,4.08%,-13.68,1.26
000661 CH Equity,CHANGCHUN HIGH-A,49.96M,35.89,1.49,--,4.17%,Health Care,34.73B,2.79%,4.28%,7.71%,-82.64%,-37.53,-10.99
603327 CH Equity,SICHUAN FURONG-A,49.87M,100.83,4.92,--,5.05%,Materials,10.51B,0.99%,3.59%,55.63%,3.67%,9.6,1.68
300133 CH Equity,ZHEJIANG HUACE-A,49.85M,54.34,1.88,--,3.50%,Communication Services,13.86B,1.84%,3.21%,20.11%,-42.74%,-6.85,0.52
000899 CH Equity,JIANGXI GANNEN-A,49.76M,13.23,1.98,--,15.79%,Utilities,12.51B,7.56%,6.24%,159.75%,56.09%,29.1,3.84
002597 CH Equity,ANHUI JINHE IN-A,49.39M,24.82,1.79,--,7.17%,Materials,13.55B,4.03%,4.99%,24.04%,-82.51%,12.18,0.8
688003 CH Equity,SUZHOU TZTEK T-A,49.34M,108.86,7.22,329.13,6.74%,Information Technology,13.57B,0.92%,4.79%,58.01%,44.54%,24.79,26.96
301095 CH Equity,SEMITRONIX COR-A,49.27M,126.42,4.39,--,3.54%,Information Technology,14.01B,0.79%,2.15%,2.19%,26.33%,-18.14,23.3
002518 CH Equity,SHENZHEN KSTAR-A,49.16M,56.92,5.9,41.34,10.74%,Industrials,27.48B,1.76%,7.92%,16.63%,40.71%,12.49,25.99
600389 CH Equity,NANTONG JIANGS-A,49.09M,28.09,3.28,--,12.17%,Materials,13.41B,3.56%,5.49%,69.96%,59.09%,18.16,17.17
2319 HK Equity,MENGNIU DAIRY,49.04M,38.18,1.45,8.09,3.77%,Consumer Staples,67.03B,2.62%,2.76%,53.81%,82.56%,17.71,-2.53
603887 CH Equity,SHANGHAI CDXJ-A,48.91M,--,2.66,--,-6.76%,Industrials,9.60B,-2.24%,-1.73%,114.20%,54.80%,-2.92,-2.01
688321 CH Equity,SHENZHEN CHIPS-A,48.84M,242.93,7.61,--,3.18%,Health Care,13.44B,0.41%,2.98%,95.11%,87.41%,-1.91,14.01
000791 CH Equity,GEPIC ENERGY D-A,48.80M,11.4,1.55,21.59,14.34%,Utilities,23.39B,8.77%,9.18%,96.62%,-41.25%,6.97,0.78
301327 CH Equity,SHENZHEN HELLO-A,48.68M,50.04,1.79,--,3.61%,Consumer Staples,11.15B,2.00%,2.35%,10.86%,-7.83%,-12.54,22.81
301316 CH Equity,HYDSOFT TECHNO-A,48.58M,174.72,15.95,--,9.50%,Information Technology,17.74B,0.57%,4.95%,31.67%,131.08%,-13.97,18.91
300634 CH Equity,RICHINFO TECHN-A,48.28M,49.48,3.92,94.28,8.27%,Information Technology,11.43B,2.02%,6.72%,1.52%,-0.25%,-4.42,3.03
300725 CH Equity,PHARMABLOCK SC-A,48.03M,37.25,1.22,13.26,4.00%,Health Care,8.75B,2.68%,3.40%,2.46%,121.14%,-8.91,7.76
000166 CH Equity,SHENWAN HONGYU-A,47.99M,12.19,1.04,5.46,8.79%,Financials,110.59B,8.21%,1.92%,274.51%,10.10%,-13.82,0.08
601229 CH Equity,BANK OF SHANGH-A,47.97M,5.89,0.57,--,9.97%,Financials,136.69B,16.98%,2.57%,453.49%,7.38%,7.95,-0.04
300459 CH Equity,ZHEJIANG JINKE-A,47.88M,--,6.9,409.4,-36.36%,Communication Services,14.45B,-6.83%,-22.54%,69.01%,-95.46%,-14.37,-0.81
301071 CH Equity,HENAN LILIANG -A,47.77M,151.01,2,152.26,1.32%,Materials,10.85B,0.66%,0.04%,15.89%,-51.87%,19.33,13.7
688523 CH Equity,HUNAN AEROSPAC-A,47.66M,239.12,14.48,--,6.24%,Industrials,24.56B,0.42%,4.66%,29.43%,-18.50%,159.35,40.15
601838 CH Equity,BANK OF CHENGD-A,47.57M,5.48,0.86,--,16.72%,Financials,73.11B,18.24%,4.13%,282.12%,-0.73%,-1.37,1.21
002635 CH Equity,SUZHOU ANJIE T-A,47.48M,91.96,1.78,26.87,1.91%,Industrials,10.39B,1.09%,0.82%,14.66%,-35.17%,8.1,2.91
002048 CH Equity,NINGBO HUAXIAN-A,47.35M,67.54,1.95,16.44,2.88%,Consumer Discretionary,21.96B,1.48%,6.35%,26.04%,-19.54%,-31.28,14.82
600596 CH Equity,ZHEJIANG XINAN-A,47.35M,--,1.3,--,-0.11%,Materials,16.11B,-0.09%,0.02%,31.55%,-0.34%,9.44,4.41
600023 CH Equity,ZHEJIANG ZHENE-A,47.31M,9.99,0.97,10.69,9.90%,Utilities,73.08B,10.01%,4.18%,57.62%,-2.69%,5.62,0.26
002182 CH Equity,BAOWU MAGNESIU-A,47.26M,172.44,2.99,--,1.74%,Materials,16.09B,0.58%,1.50%,108.87%,-32.96%,3.44,5
002896 CH Equity,NINGBO ZHONGDA-A,46.93M,192.34,11.84,--,6.19%,Industrials,14.15B,0.52%,5.83%,18.29%,-19.41%,-22.99,12.96
300638 CH Equity,FIBOCOM WIRELE-A,46.91M,55.57,3.59,175.61,7.04%,Information Technology,20.63B,1.80%,5.49%,21.51%,-34.87%,-23.07,0.29
002550 CH Equity,CHANGZHOU QIAN-A,46.90M,22.38,3.53,40.06,16.45%,Health Care,9.70B,4.47%,14.83%,0.70%,-6.46%,-15.96,2.32
300363 CH Equity,PORTON PHARMA -A,46.82M,124.22,2.2,26.49,1.83%,Health Care,11.78B,0.81%,1.09%,33.54%,176.27%,-12.93,7.18
301269 CH Equity,EMPYREAN TECHN-A,46.75M,747.99,8.84,346.37,1.19%,Information Technology,45.93B,0.13%,-0.67%,1.57%,-87.55%,-30.88,-42.86
600233 CH Equity,YTO EXPRESS GR-A,46.66M,17.24,2.04,--,12.38%,Industrials,68.18B,5.80%,10.37%,22.93%,15.31%,9.93,8.24
301155 CH Equity,JIANGSU HAILI -A,46.62M,43.59,2.46,--,5.81%,Industrials,14.17B,2.29%,4.21%,44.39%,386.26%,-33.46,9.54
002073 CH Equity,MESNAC CO LTD -A,46.49M,18.11,1.16,107.91,6.57%,Industrials,7.33B,5.52%,4.36%,57.73%,-50.43%,-19.64,-0.11
688409 CH Equity,SHENYANG FORTU-A,45.87M,578.47,6.44,--,1.10%,Information Technology,29.67B,0.17%,0.47%,63.33%,-49.73%,21.4,44.07
000786 CH Equity,BEIJING NEW BU-A,45.73M,15.04,1.61,14.44,11.00%,Industrials,44.02B,6.65%,9.91%,7.33%,-42.15%,5.21,-3.94
000543 CH Equity,AN HUI WENERGY-A,45.67M,7.64,1.06,12.34,14.65%,Utilities,18.23B,13.10%,5.39%,141.64%,60.71%,2.42,1.19
601137 CH Equity,NINGBO BOWAY A-A,45.53M,13.73,1.78,--,13.64%,Materials,17.77B,7.28%,7.22%,93.89%,-59.87%,-26.06,3.37
001301 CH Equity,SHIJIAZHUANG S-A,45.52M,19.59,2.82,--,15.18%,Industrials,19.06B,5.10%,11.83%,52.00%,8.83%,-6.49,23.27
001339 CH Equity,JWIPC TECHNOLO-A,45.46M,92.07,7.15,85.56,8.11%,Information Technology,16.11B,1.09%,7.29%,94.85%,-42.05%,9.93,18.88
300045 CH Equity,HWA CREATE CO -A,45.39M,--,8.95,--,-6.32%,Industrials,14.37B,-0.73%,-5.89%,2.89%,1.39k%,-2.6,4.66
688658 CH Equity,YOUCARE PHARMA-A,45.38M,--,2.5,44.69,-7.61%,Health Care,8.40B,-3.16%,-6.15%,22.32%,-53.39%,-16.05,5.49
605111 CH Equity,WUXI NCE POWER-A,45.37M,40.45,3.68,46.61,9.51%,Information Technology,15.91B,2.47%,8.83%,2.19%,-36.57%,7.28,7.74
300357 CH Equity,ZHEJIANG WOLWO-A,45.37M,35.11,5.2,65.42,15.63%,Health Care,13.71B,2.85%,13.50%,0.71%,35.84%,-10.72,5.93
002895 CH Equity,GUIZHOU CHANHE-A,45.20M,18.36,3.14,138.19,18.16%,Materials,24.12B,5.45%,11.87%,34.25%,3.76%,25.58,19.04
600100 CH Equity,TSINGHUA TONG-A,44.96M,70.03,1.66,32.28,2.53%,Information Technology,26.80B,1.43%,-0.26%,70.56%,67.53%,-1.11,0.97
000880 CH Equity,WEICHAI HEAVY-A,44.80M,52.37,6.01,17.58,11.53%,Industrials,12.64B,1.91%,5.37%,70.24%,111.66%,-12.6,-0.17
300319 CH Equity,SHENZHEN MICRO-A,44.77M,30.05,2.18,--,7.44%,Information Technology,10.39B,3.33%,4.98%,21.44%,-42.76%,-7.43,2.23
002270 CH Equity,HUAMING POWER -A,44.73M,35.04,7.85,64.75,22.50%,Industrials,25.07B,2.85%,16.23%,38.56%,-7.40%,30.38,14.96
601618 CH Equity,METALLURGICAL-A,44.63M,5.57,0.29,6.95,0.05%,Industrials,57.10B,17.95%,-2.63%,57.54%,-48.62%,-26.67,0.06
300049 CH Equity,INNER MONGOLIA-A,44.49M,97.95,7.6,92.59,8.27%,Health Care,15.15B,1.02%,11.72%,7.50%,75.30%,-16.94,27.54
6618 HK Equity,JD HEALTH,44.49M,25.96,2.35,16.81,9.32%,Consumer Staples,162.30B,3.85%,7.08%,1.06%,1.83%,-19.25,18.65
002913 CH Equity,AOSHIKANG TECH-A,44.35M,44.48,3.59,821.48,8.18%,Information Technology,15.84B,2.25%,4.64%,47.57%,50.32%,16.42,29.43
688131 CH Equity,SHANGHAI HAOYU-A,44.19M,51.83,4.94,866.19,10.14%,Health Care,15.39B,1.93%,7.23%,70.48%,14.58%,-10.34,40.1
603305 CH Equity,NINGBO XUSHENG-A,44.16M,32.22,2.07,71.89,5.79%,Consumer Discretionary,17.21B,3.10%,3.47%,69.47%,64.49%,-14.38,3.86
300315 CH Equity,OURPALM CO LT-A,43.94M,--,2.64,107.23,-0.17%,Communication Services,13.05B,-0.07%,-2.85%,0.78%,-31.37%,-11.07,0.32
002545 CH Equity,QINGDAO EAST-A,43.90M,30.52,2.99,26.73,10.19%,Materials,28.27B,3.28%,6.86%,18.84%,68.80%,62.52,16.45
603456 CH Equity,ZHEJIANG JIUZH-A,43.78M,21.23,1.75,14.24,8.35%,Health Care,15.31B,4.71%,7.29%,3.80%,42.02%,-13.3,5.18
300641 CH Equity,JIANGSU ZHENGD-A,43.65M,9.66,3.19,9.89,35.83%,Materials,9.93B,10.35%,32.34%,0.07%,-92.88%,-15.4,-9.09
688543 CH Equity,JIANGXI GUOKE -A,43.65M,58.16,5.92,37.83,10.51%,Industrials,14.29B,1.72%,8.23%,10.05%,142.23%,33.15,26.24
300348 CH Equity,SHENZHEN SUNLI-A,43.61M,3.25k,5.21,4.71k,0.16%,Information Technology,11.06B,0.03%,7.74%,8.77%,201.72%,-8.76,2.26
688 HK Equity,CHINA OVERSEAS,43.60M,8.79,0.29,--,3.30%,Real Estate,128.38B,11.38%,1.38%,58.99%,-21.53%,-17.16,-1.11
002249 CH Equity,ZHONGSHAN BROA-A,43.59M,20.57,2.28,16.7,11.30%,Industrials,22.68B,4.86%,7.35%,32.32%,-22.33%,-14.51,3.47
301571 CH Equity,TEEMSUN TECHNO-A,43.55M,64.53,6.54,--,11.46%,Industrials,12.46B,1.55%,9.44%,37.76%,-12.52%,54.54,29.91
002100 CH Equity,TECON BIOLOGY -A,43.47M,23.26,1.47,13.72,6.39%,Consumer Staples,10.54B,4.30%,4.80%,64.93%,-73.81%,0,1.13
300416 CH Equity,SUZHOU SUSHI T-A,43.41M,34.89,3.25,33.59,9.52%,Information Technology,8.98B,2.87%,7.19%,37.99%,20.26%,-0.28,0.58
000301 CH Equity,EASTERN SHENGH-A,43.24M,--,2.16,12.29,-2.22%,Materials,74.05B,-1.11%,1.42%,388.48%,72.98%,12.9,3.51
603009 CH Equity,SHANGHAI BEITE-A,43.24M,163.89,9.82,--,6.15%,Consumer Discretionary,17.25B,0.61%,4.51%,62.72%,107.96%,-5.43,12.8
601969 CH Equity,HAINAN MINING -A,43.04M,50.62,3.15,91.83,6.22%,Materials,21.83B,1.98%,4.05%,49.57%,-67.48%,23.28,4.16
688559 CH Equity,HYMSON LASER T-A,42.68M,--,5.48,370.36,-41.98%,Industrials,13.09B,-9.59%,-16.17%,208.69%,-87.33%,36.16,28.32
300682 CH Equity,LONGSHINE TECH-A,42.66M,163.26,2.52,70.08,1.54%,Information Technology,17.10B,0.61%,-0.40%,13.42%,-35.91%,-16.75,4.74
300088 CH Equity,WUHU TOKEN-A,42.64M,43.62,1.75,133.08,4.08%,Information Technology,15.46B,2.29%,2.45%,58.52%,-38.43%,-5.93,1.01
600258 CH Equity,BTG HOTELS GRO-A,42.46M,20.76,1.39,6.46,6.82%,Consumer Discretionary,16.84B,4.82%,4.64%,68.37%,-4.94%,4.94,-0.24
688652 CH Equity,BEIJING JINGYI-A,42.16M,117.23,7.84,111.81,6.92%,Information Technology,17.27B,0.85%,5.77%,13.95%,-24.23%,6.14,43.55
300007 CH Equity,HANWEI ELECT-A,42.15M,427.18,4.83,--,2.83%,Information Technology,14.03B,0.23%,1.56%,32.25%,15.26%,-27.75,10.8
002315 CH Equity,FOCUS TECH-A,42.10M,25.26,4.64,24.12,19.17%,Communication Services,12.72B,3.96%,16.33%,0.54%,-3.29%,-16.61,6.17
600682 CH Equity,NANJING XINJIE-A,41.98M,44,0.56,16.67,1.26%,Health Care,9.99B,2.27%,1.30%,5.37%,-64.00%,0.27,1
600556 CH Equity,INMYSHOW-A,41.97M,503.94,2.85,66.11,0.81%,Communication Services,10.97B,0.20%,0.70%,12.21%,-96.20%,4.66,1.68
300573 CH Equity,SHENYANG XINGQ-A,41.83M,25.74,8.95,71.62,37.08%,Health Care,16.70B,3.89%,34.29%,7.21%,103.92%,0.61,17.37
600478 CH Equity,HUNAN CORUN NE-A,41.62M,63.3,4.12,32.59,6.75%,Industrials,11.96B,1.58%,3.31%,157.81%,5.52k%,12.01,2.92
000895 CH Equity,HENAN SHUAN-A,41.46M,18.81,4.49,14.84,24.03%,Consumer Staples,96.01B,5.32%,16.36%,48.80%,-2.61%,11.6,1.99
300777 CH Equity,SINOFIBERS TEC-A,41.44M,39.06,3.61,--,9.51%,Materials,16.29B,2.56%,8.82%,4.13%,-35.01%,5.11,3.45
601678 CH Equity,BEFAR GROUP CO-A,41.37M,44.88,0.9,12.48,1.95%,Materials,10.28B,2.23%,1.35%,86.13%,36.35%,13.64,1.32
603663 CH Equity,SANXIANG ADVAN-A,40.97M,233.48,13.41,136.62,5.84%,Materials,17.74B,0.43%,4.18%,26.87%,129.84%,50.67,21.44
600803 CH Equity,ENN NATURAL-A,40.87M,14.82,2.64,11.59,19.46%,Utilities,65.01B,6.75%,9.24%,54.86%,67.39%,13.21,2.47
002019 CH Equity,YIFAN PHARMACE-A,40.85M,38.65,1.52,--,4.70%,Health Care,15.73B,2.59%,4.06%,28.90%,-10.69%,-8.1,1.79
002539 CH Equity,CHENGDU WINTRU-A,40.79M,21.13,1.85,--,9.03%,Materials,17.11B,4.73%,5.03%,136.63%,2.86%,30,7.26
600292 CH Equity,SPIC HYDROPOWE-A,40.75M,4.52k,2.19,--,0.07%,Industrials,63.95B,0.02%,0.29%,32.57%,-4.89%,13.71,0.27
601952 CH Equity,JIANGSU PROVIN-A,40.60M,24.39,2.08,9.51,8.63%,Consumer Staples,14.10B,4.10%,6.20%,71.35%,-66.43%,8.26,-0.86
603530 CH Equity,JIANGSU SHEMAR-A,40.56M,68.52,15.69,--,22.48%,Industrials,25.62B,1.46%,17.05%,41.47%,61.19%,54.93,36.99
605099 CH Equity,COCREATION GRA-A,40.44M,27.43,5.8,32.48,22.39%,Consumer Discretionary,17.44B,3.65%,18.73%,16.72%,53.69%,38.88,24.25
601619 CH Equity,JIAZE RENEWABLES,40.41M,18.41,1.91,9.94,9.64%,Utilities,15.12B,5.43%,7.72%,69.25%,20.10%,-9.24,1.81
301606 CH Equity,UGREEN GROUP L-A,40.33M,42.93,8.95,--,22.45%,Information Technology,30.25B,2.33%,20.46%,4.32%,71.82%,14.75,42.53
1113 HK Equity,CK ASSET HOLDING,40.16M,15.28,0.42,15.64,2.77%,Real Estate,165.68B,6.55%,2.02%,13.76%,52.47%,23.28,20.84
002993 CH Equity,DONGGUAN AOHAI-A,40.15M,26.55,2.78,17.12,10.56%,Information Technology,13.94B,3.77%,7.11%,37.34%,232.45%,13.3,21.47
291 HK Equity,CHINA RESOURCES,40.13M,22.75,2.37,16.8,10.54%,Consumer Staples,87.59B,4.40%,6.65%,7.80%,2.83%,-2.46,0.77
688262 CH Equity,C*CORE TECHNOL-A,40.05M,--,5.52,--,-8.38%,Information Technology,11.39B,-1.61%,-8.70%,5.14%,-18.27%,13.26,8.17
27 HK Equity,GALAXY ENTERTAIN,39.98M,14.54,1.87,--,13.42%,Consumer Discretionary,155.38B,6.88%,10.66%,2.34%,25.24%,-7.84,9.77
600459 CH Equity,SINO-PLATINUM-A,39.90M,24.08,2.07,15.43,8.91%,Materials,15.32B,4.15%,4.92%,117.78%,19.42%,15.66,7.88
300999 CH Equity,YIHAI KERRY AR-A,39.90M,48.42,1.58,10.47,4.05%,Consumer Staples,152.40B,2.07%,1.80%,108.38%,-25.40%,-10.9,-4.37
002906 CH Equity,FORYOU CORP-A,39.78M,20.05,2.25,--,11.62%,Consumer Discretionary,15.71B,4.99%,8.35%,46.19%,17.71%,-8.97,1.65
STM SP Equity,SEATRIUM LTD,39.77M,25.97,1.22,378.05,4.89%,Industrials,8.39B,3.85%,4.23%,42.76%,131.93%,8.77,0.74
2688 HK Equity,ENN ENERGY,39.76M,10.74,1.35,24.16,12.71%,Utilities,74.14B,9.31%,8.51%,36.50%,-11.46%,0.35,8.05
300224 CH Equity,YANTAI ZHENGHA-A,39.66M,41.97,2.65,500.92,6.76%,Industrials,13.69B,2.38%,4.15%,51.87%,139.07%,-17.31,1.98
002544 CH Equity,CETC POTEVIO S-A,39.63M,1.71k,4.79,216.79,0.28%,Information Technology,17.90B,0.06%,0.06%,33.65%,70.18%,5.11,5.88
600886 CH Equity,SDIC POWER HOL-A,39.60M,16.35,1.63,--,10.64%,Utilities,107.74B,6.12%,4.82%,131.09%,-4.70%,-1.25,-0.88
300009 CH Equity,ANHUI ANKE BIO-A,39.60M,22.29,3.6,21.56,16.94%,Health Care,16.38B,4.49%,15.69%,1.36%,34.63%,-5.04,2.01
688032 CH Equity,HOYMILES POWER-A,39.58M,350.49,2.41,--,0.65%,Industrials,14.07B,0.29%,-1.11%,19.10%,-80.42%,0.79,16.16
300674 CH Equity,YUSYS TECHNOLO-A,39.54M,33.19,3.13,37.76,9.77%,Information Technology,14.27B,3.01%,7.49%,19.19%,-3.00%,-18.33,-0.83
688380 CH Equity,SHENZHEN CHINA-A,39.37M,61.55,5.53,--,9.21%,Information Technology,17.65B,1.62%,7.68%,6.99%,742.37%,16.86,19.99
600633 CH Equity,ZHEJIANG DAILY-A,39.25M,27.93,1.55,30.36,5.65%,Communication Services,15.88B,3.58%,4.84%,6.05%,1.33%,-11.83,0.22
002219 CH Equity,NEW JOURNEY HE-A,39.17M,352.77,4.16,432.22,1.10%,Health Care,8.20B,0.28%,2.74%,95.30%,-1.32k%,7.08,0.08
688698 CH Equity,SUZHOU VEICHI-A,39.14M,54.8,6.17,--,11.78%,Industrials,14.36B,1.82%,8.89%,23.35%,8.49%,-25.84,23.65
300134 CH Equity,ANHUI TATFOOK-A,39.04M,--,2.22,--,-10.50%,Information Technology,8.45B,-4.97%,-7.99%,15.67%,36.83%,-6.93,0.23
603369 CH Equity,JIANGSU KING'S-A,38.98M,11.28,1.97,1.41k,18.17%,Consumer Staples,32.44B,8.86%,15.23%,14.37%,-49.14%,-33.28,-26.36
688332 CH Equity,SHENZHEN BLUET-A,38.94M,10.63,2.85,201.94,30.52%,Information Technology,15.04B,9.41%,22.14%,2.70%,-28.10%,-20.66,20.89
688337 CH Equity,RIGOL TECHNOLO-A,38.90M,120.4,3.28,120.93,2.72%,Information Technology,10.37B,0.83%,1.18%,2.84%,235.44%,37.43,17.77
302132 CH Equity,AVIC CHENGDU A-A,38.87M,81.01,8.98,--,19.43%,Information Technology,179.03B,1.23%,11.22%,57.63%,-94.15%,-26.63,9.2
